SRRfile ,Bioproject,Species,SpeciesSmaller,Sample,Age/Size,Tissue,Sample#,FastqFileName
SRR25630383,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy111,adult,EO,2,CcoxCrh_comrhy111_EO_adult_2
SRR25630380,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy112,adult,EO,1,CcoxCrh_comrhy112_EO_adult_1
SRR25630381,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy112,adult,EO,2,CcoxCrh_comrhy112_EO_adult_2
SRR25630378,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy113,adult,EO,1,CcoxCrh_comrhy113_EO_adult_1
SRR25630379,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy113,adult,EO,2,CcoxCrh_comrhy113_EO_adult_2
SRR25630376,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy114,adult,EO,1,CcoxCrh_comrhy114_EO_adult_1
SRR25630377,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy114,adult,EO,2,CcoxCrh_comrhy114_EO_adult_2
SRR25630342,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy28,adult,SM,1,CcoxCrh_comrhy28_SM_adult_1
SRR25630340,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy29,adult,SM,1,CcoxCrh_comrhy29_SM_adult_1
SRR25630341,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy29,adult,SM,2,CcoxCrh_comrhy29_SM_adult_2
SRR25630338,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy31,adult,SM,1,CcoxCrh_comrhy31_SM_adult_1
SRR25630337,PRJNA1005244,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy32,adult,SM,1,CcoxCrh_comrhy32_SM_adult_1
SRR25630299,PRJNA1005245,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy59,6cm,EO,1,CcoxCrh_comrhy59_EO_6cm_1
SRR25630297,PRJNA1005245,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy60,6cm,EO,1,CcoxCrh_comrhy60_EO_6cm_1
SRR25630296,PRJNA1005245,CampylomormyruscompressirostrisxCampylomormyrusrhynchophorus,CcoxCrh,comrhy61,6cm,EO,1,CcoxCrh_comrhy61_EO_6cm_1
